Product,Merk,Prijs,Voorraad,Inhoud (ml),Gewicht incl. fles (gram),Korte omschrijving (1 zin),Productbeschrijving (60-120 woorden),Ingredienten (INCI - letterlijk van de verpakking),Gebruiksaanwijzing (2-4 zinnen)
Ladies First Honey Shampoo,The Doux,"17,49",6,,,,,,
Big Poppa Defining Gel,The Doux,"15,95",9,,,,,,
Bee Girl Honey Curl Custard,The Doux,"16,95",9,,,,,,
Crazy Sexy Curl Honey Setting Foam,The Doux,"17,50",6,,,,,,
Bananas Xtreme Gel,The Doux,"17,95",6,354.8,,,,,
Curl Color Hot Red,As I Am,"8,95",6,,,,,,
Curl Color Flamingo Pink,As I Am,"8,95",5,,,,,,
Curl Color Cool Blue,As I Am,"8,95",5,,,,,,
Curl Color Minty Mermaid,As I Am,"8,95",4,,,,,,
Manuka Honey & Mafura Leave-In,SheaMoisture,"14,95",6,326,,,,,
