Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,In stock?,Stock,Backorders allowed?,Weight (g),Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,thedoux-ladies-first-shampoo,The Doux Ladies First Honey Shampoo,1,1,visible,,,1,6,0,,17.49,,thedoux-ladies-first-shampoo-1.jpeg|thedoux-ladies-first-shampoo-2.jpeg,Merk,The Doux,1,1
simple,thedoux-big-poppa-gel,The Doux Big Poppa Defining Gel,1,1,visible,,,1,9,0,,15.95,,thedoux-big-poppa-gel-1.png|thedoux-big-poppa-gel-2.png|thedoux-big-poppa-gel-3.png,Merk,The Doux,1,1
simple,thedoux-bee-girl-curl-custard,The Doux Bee Girl Honey Curl Custard,1,1,visible,,,1,9,0,,16.95,,thedoux-bee-girl-curl-custard-1.png|thedoux-bee-girl-curl-custard-2.png|thedoux-bee-girl-curl-custard-3.png|thedoux-bee-girl-curl-custard-4.png,Merk,The Doux,1,1
simple,thedoux-crazy-sexy-curl-foam,The Doux Bee Girl Crazy Sexy Curl Honey Setting Foam,1,0,visible,,,1,6,0,,17.50,,thedoux-crazy-sexy-curl-foam-1.png|thedoux-crazy-sexy-curl-foam-2.png|thedoux-crazy-sexy-curl-foam-3.png,Merk,The Doux,1,1
simple,thedoux-bananas-xtreme-gel,The Doux Bananas Xtreme Gel,1,1,visible,,,1,6,0,,17.95,,thedoux-bananas-xtreme-gel-1.png|thedoux-bananas-xtreme-gel-2.png|thedoux-bananas-xtreme-gel-3.png|thedoux-bananas-xtreme-gel-4.png,Merk,The Doux,1,1
simple,asiam-curl-color-hot-red,As I Am Curl Color Hot Red,1,0,visible,,,1,6,0,,8.95,,asiam-curl-color-hot-red-1.png|asiam-curl-color-hot-red-2.png|asiam-curl-color-hot-red-3.png,Merk,As I Am,1,1
simple,asiam-curl-color-flamingo-pink,As I Am Curl Color Flamingo Pink,1,0,visible,,,1,5,0,,8.95,,asiam-curl-color-flamingo-pink-1.png|asiam-curl-color-flamingo-pink-2.png,Merk,As I Am,1,1
simple,asiam-curl-color-cool-blue,As I Am Curl Color Cool Blue,1,0,visible,,,1,5,0,,8.95,,asiam-curl-color-cool-blue-1.png|asiam-curl-color-cool-blue-2.png|asiam-curl-color-cool-blue-3.png|asiam-curl-color-cool-blue-4.jpeg,Merk,As I Am,1,1
simple,asiam-curl-color-minty-mermaid,As I Am Curl Color Minty Mermaid,1,0,visible,,,1,4,0,,8.95,,asiam-curl-color-minty-mermaid-1.png|asiam-curl-color-minty-mermaid-2.jpeg|asiam-curl-color-minty-mermaid-3.jpeg,Merk,As I Am,1,1
simple,sheamoisture-manuka-leave-in,SheaMoisture Manuka Honey & Mafura Oil Leave-In Conditioner,1,1,visible,,,1,6,0,,14.95,,sheamoisture-manuka-leave-in-1.jpeg|sheamoisture-manuka-leave-in-2.jpeg|sheamoisture-manuka-leave-in-3.jpeg,Merk,SheaMoisture,1,1
